teamTotal,DBNOs,assists,boosts,damageDealt,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,mainWeapon
18,9,1,0,786.828,3,0,1,4,10,206.023,0,6659.2,0,0.0,0,964,0,1036.88,9,1,WeapMini14_C
18,1,9,2,91.874,1,0,13,1,1,25.6977,0,6719.73,0,0.0,0,964,0,915.728,3,1,WeapBerylM762_C
16,3,4,2,312.46,2,1,10,1,2,57.978,0,3241.59,0,0.0,0,1453,0,1576.72,4,1,WeapMini14_C
16,4,2,1,523.248,0,1,6,2,3,70.6333,1,1644.48,0,0.0,0,942,0,1297.32,2,8,WeapMini14_C
16,2,3,8,298.41,0,2,7,1,3,9.21615,1,5592.36,0,0.0,0,1620,0,1520.39,3,4,WeapHK416_C
16,2,3,11,404.108,1,4,8,1,2,178.583,1,1772.39,0,0.0,0,1684,0,2602.19,6,1,WeapFNFal_C
16,5,5,5,710.464,0,1,4,1,4,337.584,0,4029.84,0,0.0,0,1172,0,1946.53,4,1,WeapMini14_C
16,3,6,1,226.926,1,0,12,1,2,242.594,0,6808.12,0,0.0,0,1318,0,1437.5,8,7,WeapMini14_C
17,0,4,0,97.335,0,0,42,0,0,0.0,0,0.0,0,0.0,0,420,0,770.71,5,10,WeapSCAR-L_C
17,0,0,4,0.0,0,1,37,0,0,0.0,1,4392.94,0,0.0,0,1063,0,859.595,4,7,
17,0,0,0,0.0,0,0,59,0,0,0.0,0,0.0,0,0.0,0,86,0,34.356,1,17,
29,1,0,0,100.0,0,0,92,0,0,0.0,0,0.0,0,0.0,0,106,0,127.71,1,28,WeapThompson_C
18,7,3,3,735.339,1,0,5,2,3,117.225,0,2870.98,0,0.0,0,1460,0,1148.59,4,1,WeapHK416_C
15,0,1,5,66.0301,0,3,24,0,0,0.0,0,1585.27,0,0.0,0,944,0,2197.96,11,1,WeapMk12_C
18,3,5,6,824.848,1,0,3,2,5,364.827,0,6347.92,0,0.0,0,1698,1,1824.8,6,2,WeapMini14_C
16,0,0,2,92.1206,0,1,45,0,0,0.0,0,4945.07,0,0.0,0,951,0,1591.4,4,10,WeapHK416_C
15,5,6,16,987.898,0,4,4,1,4,54.4534,2,2056.22,0,0.0,0,1839,0,3967.33,7,1,WeapMk14_C
19,0,0,0,0.0,0,0,19,0,0,0.0,0,0.0,0,0.0,0,14,0,0.0,0,19,
16,5,4,8,600.694,0,5,1,2,7,178.733,1,2392.34,0,0.0,0,1666,0,1793.92,6,4,WeapBerylM762_C
16,3,3,9,342.863,3,2,4,1,3,118.977,0,11185.5,0,0.0,0,1667,0,1271.39,4,1,WeapMini14_C
16,2,2,4,197.238,0,2,21,1,1,239.403,0,6582.87,0,0.0,0,1363,1,1706.96,6,7,WeapMk12_C
17,1,3,8,481.472,0,3,4,2,3,111.184,0,3777.44,0,0.0,0,1651,0,1674.09,10,1,WeapBerylM762_C
18,4,3,9,608.062,0,7,7,2,3,172.914,0,4701.71,0,0.0,0,1648,0,2473.41,5,1,WeapBerylM762_C
17,0,2,7,0.0,0,5,28,0,0,0.0,1,9279.91,0,0.0,0,1345,0,1504.33,3,4,WeapAK47_C
18,0,0,3,0.0,0,0,49,0,0,0.0,0,2564.81,0,0.0,0,883,0,424.076,5,15,
15,6,2,14,601.188,1,9,3,2,5,134.775,4,3712.86,0,0.0,0,1875,1,2303.82,7,2,WeapMini14_C
17,3,3,3,388.933,1,4,4,2,3,52.9695,0,6543.68,0,0.0,0,1487,0,868.516,3,5,WeapACE32_C
17,2,1,1,220.063,0,0,27,1,1,187.625,0,745.109,0,0.0,0,485,0,799.053,3,15,WeapFNFal_C
18,2,3,5,475.905,0,2,4,2,4,205.867,1,1955.06,0,0.0,0,1254,0,1936.51,4,7,WeapHK416_C
28,9,0,11,1071.72,4,1,2,2,7,292.173,0,6333.05,0,0.0,0,1558,0,1437.97,9,5,WeapM24_C
17,2,0,13,580.642,0,2,3,2,5,227.606,1,4830.24,0,0.0,0,1723,0,1712.58,6,3,WeapMini14_C
17,0,0,2,28.416,0,1,52,0,0,0.0,0,3004.52,0,0.0,0,803,0,448.728,5,16,WeapFNFal_C
17,1,1,2,163.289,1,2,16,1,1,81.0345,0,6149.03,0,0.0,0,1411,0,838.348,4,4,WeapHK416_C
18,0,0,0,25.8,0,0,55,0,0,0.0,0,0.0,0,0.0,0,183,0,119.22,2,16,WeapM16A4_C
