id,teamId,teamRank,teamTotal,shard,dbnos,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,mainWeapon
6,3,1,18,steam,9,1,0,786.828,alive,3,0,1,4,10,206.023,W0CAOWUQING,account.150b6a9d5f5646a9bafba4d823d0df8a,0,6659.2,0,0.0,0,964,0,1036.88,9,1,WeapMini14_C
7,11,1,17,steam,3,1,2,602.942,alive,1,0,2,1,5,273.876,W0CAOWUQING,account.150b6a9d5f5646a9bafba4d823d0df8a,0,9998.3,0,0.0,0,1022,0,960.618,4,1,WeapMini14_C
6,15,1,16,steam,9,0,0,797.226,alive,3,0,1,3,9,154.701,W0CAOWUQING,account.150b6a9d5f5646a9bafba4d823d0df8a,0,6203.56,0,0.0,0,922,0,577.379,2,1,WeapMk47Mutant_C
8,10,1,16,steam,4,2,5,402.945,alive,1,1,7,1,3,207.424,W0CAOWUQING,account.150b6a9d5f5646a9bafba4d823d0df8a,0,7486.56,0,0.0,0,810,0,656.68,3,1,WeapBerylM762_C
5,17,1,17,steam,5,2,0,466.06,alive,1,0,3,1,5,395.212,W0CAOWUQING,account.150b6a9d5f5646a9bafba4d823d0df8a,0,9807.18,0,0.0,0,1158,0,1098.0,4,1,WeapMini14_C
4,3,1,18,steam,1,9,2,91.874,alive,1,0,13,1,1,25.6977,Yy309084_ShYlie,account.0deaf5ae27204aac8e255d28c8f8de19,0,6719.73,0,0.0,0,964,0,915.728,3,1,WeapBerylM762_C
5,11,1,17,steam,1,3,1,47.6438,alive,0,0,6,1,3,276.876,Yy309084_ShYlie,account.0deaf5ae27204aac8e255d28c8f8de19,0,10440.7,0,0.0,0,1015,0,767.308,3,1,WeapMini14_C
1,15,1,16,steam,3,5,2,217.74,alive,2,0,6,1,3,175.747,Yy309084_ShYlie,account.0deaf5ae27204aac8e255d28c8f8de19,0,6297.48,0,0.0,0,1056,0,509.877,5,1,WeapMk12_C
7,10,1,16,steam,1,1,1,128.2,alive,1,1,13,1,1,56.5237,Yy309084_ShYlie,account.0deaf5ae27204aac8e255d28c8f8de19,0,1827.0,0,0.0,0,417,0,596.208,4,1,WeapAK47_C
4,17,1,17,steam,2,5,1,224.162,alive,1,0,8,1,2,95.1691,Yy309084_ShYlie,account.0deaf5ae27204aac8e255d28c8f8de19,0,9749.9,0,0.0,0,1190,0,1159.37,2,1,WeapAK47_C
49,7,1,16,steam,3,4,2,312.46,alive,2,1,10,1,2,57.978,V50_YingBangBang,account.c752174138bf4a9d83368e1756822cc6,0,3241.59,0,0.0,0,1453,0,1576.72,4,1,WeapMini14_C
51,14,1,16,steam,2,3,9,285.0,alive,0,0,6,1,4,192.302,V50_YingBangBang,account.c752174138bf4a9d83368e1756822cc6,0,10448.7,0,0.0,0,1258,0,744.852,4,1,WeapMini14_C
42,7,1,17,steam,1,3,3,220.985,alive,0,0,10,1,2,295.202,V50_YingBangBang,account.c752174138bf4a9d83368e1756822cc6,0,7291.43,0,0.0,0,1523,0,1654.9,6,1,WeapMini14_C
47,11,1,16,steam,3,2,5,318.069,alive,2,3,3,1,4,167.563,V50_YingBangBang,account.c752174138bf4a9d83368e1756822cc6,0,4997.55,0,0.0,0,1243,0,1531.89,8,1,WeapFNFal_C
33,7,1,16,steam,4,2,1,523.248,byzone,0,1,6,2,3,70.6333,V50_BangBangYing,account.6c3c4cc50577445ab7b337609296192e,1,1644.48,0,0.0,0,942,0,1297.32,2,8,WeapMini14_C
23,14,1,16,steam,4,4,6,602.189,alive,3,0,5,2,5,106.055,V50_BangBangYing,account.6c3c4cc50577445ab7b337609296192e,0,10388.8,0,0.0,0,1313,1,858.553,4,1,WeapBerylM762_C
24,7,1,17,steam,4,3,5,339.779,alive,2,6,9,2,2,84.5536,V50_BangBangYing,account.6c3c4cc50577445ab7b337609296192e,1,7124.21,0,0.0,0,1524,0,1570.79,3,1,WeapACE32_C
17,6,1,18,steam,7,4,2,775.835,alive,2,1,1,2,6,127.812,V50_BangBangYing,account.6c3c4cc50577445ab7b337609296192e,0,7042.75,0,0.0,0,1267,0,1540.1,2,1,WeapFNFal_C
37,12,1,17,steam,3,2,7,980.223,alive,0,4,3,2,4,37.1322,GangBang-,account.925d9b1aafad4404a7da7611d2d8337c,2,5902.83,0,0.0,0,1883,1,1087.0,4,1,WeapMini14_C
40,12,1,16,steam,4,1,7,569.471,alive,0,1,6,2,3,64.7164,GangBang-,account.925d9b1aafad4404a7da7611d2d8337c,0,7483.73,0,0.0,0,1849,0,1314.53,4,1,WeapMk12_C
39,7,1,17,steam,7,4,4,1091.99,alive,1,1,3,2,5,283.828,GangBang-,account.925d9b1aafad4404a7da7611d2d8337c,0,4482.75,0,0.0,0,1580,0,927.274,4,1,WeapMini14_C
39,17,1,18,steam,3,1,6,894.786,alive,1,4,4,2,3,28.7119,GangBang-,account.925d9b1aafad4404a7da7611d2d8337c,0,4908.06,0,0.0,0,1820,0,1537.03,5,1,WeapMini14_C
1,11,1,16,steam,2,6,12,632.131,alive,0,7,5,1,3,242.228,7uuuuuuuuuuuuu00,account.03dc93881a214f22bfe208a8cd2946d0,0,9012.23,0,0.0,0,1698,2,1497.93,3,1,WeapMk12_C
1,8,1,13,steam,3,6,7,725.68,alive,0,0,8,1,2,46.8403,7uuuuuuuuuuuuu00,account.03dc93881a214f22bfe208a8cd2946d0,0,4739.39,0,0.0,0,1856,0,1547.75,8,1,WeapFNFal_C
2,3,1,17,steam,3,6,5,583.153,alive,0,2,3,1,4,449.63,7uuuuuuuuuuuuu00,account.03dc93881a214f22bfe208a8cd2946d0,2,2955.69,0,0.0,0,1657,0,1380.32,3,1,WeapFNFal_C
51,13,1,16,steam,2,3,11,404.108,alive,1,4,8,1,2,178.583,GXFC_99uan,account.c185d151946943c883b55fbe7369d3bb,1,1772.39,0,0.0,0,1684,0,2602.19,6,1,WeapFNFal_C
38,14,1,17,steam,1,4,9,452.633,alive,2,3,2,1,5,76.4807,GXFC_99uan,account.c185d151946943c883b55fbe7369d3bb,2,797.499,0,0.0,0,1298,0,2070.74,4,1,WeapBerylM762_C
49,15,1,18,steam,8,0,10,603.334,alive,2,3,2,3,6,70.2756,GXFC_99uan,account.c185d151946943c883b55fbe7369d3bb,3,5704.26,0,0.0,0,1613,0,2084.68,7,1,WeapFNFal_C
46,5,1,17,steam,2,5,5,314.048,alive,0,4,6,1,3,63.1259,GXFC_99uan,account.c185d151946943c883b55fbe7369d3bb,0,6133.45,0,0.0,0,1474,0,1851.68,10,1,WeapAUG_C
52,13,1,16,steam,5,5,5,710.464,alive,0,1,4,1,4,337.584,iiyan_-,account.cae14fba1c4b420b955d27935675763c,0,4029.84,0,0.0,0,1172,0,1946.53,4,1,WeapMini14_C
51,16,1,16,steam,6,3,2,717.93,alive,4,0,3,2,6,323.638,iiyan_-,account.cae14fba1c4b420b955d27935675763c,0,5579.4,0,0.0,0,1347,0,1133.0,8,1,WeapHK416_C
52,15,1,16,steam,1,3,2,224.628,alive,1,1,11,1,1,33.6764,iiyan_-,account.cae14fba1c4b420b955d27935675763c,0,4616.15,0,0.0,0,809,0,1059.86,3,1,WeapHK416_C
49,5,1,17,steam,1,3,6,373.753,alive,1,7,3,1,3,47.594,iiyan_-,account.cae14fba1c4b420b955d27935675763c,0,8049.89,0,0.0,0,968,0,956.507,6,1,WeapHK416_C
52,10,1,17,steam,9,2,10,874.083,alive,6,3,1,2,7,201.573,iiyan_-,account.cae14fba1c4b420b955d27935675763c,0,3682.65,0,0.0,0,1557,1,1481.61,7,1,WeapMini14_C
54,10,1,16,steam,5,3,5,343.837,alive,4,2,1,1,6,280.344,GK888GK,account.e00d89873f774374afb38ad52e586d71,0,11486.8,0,0.0,0,1247,0,1471.58,4,1,WeapBerylM762_C
49,10,1,18,steam,3,3,2,350.63,alive,2,0,3,2,4,254.366,GK888GK,account.e00d89873f774374afb38ad52e586d71,0,5990.8,0,0.0,0,1449,0,1400.75,2,1,WeapSCAR-L_C
49,4,1,16,steam,4,3,1,458.24,alive,1,0,3,1,4,173.82,GK888GK,account.e00d89873f774374afb38ad52e586d71,0,5883.12,0,0.0,0,1381,0,1175.06,3,1,WeapHK416_C
54,13,1,16,steam,2,4,2,301.725,alive,1,0,11,1,2,120.846,GK888GK,account.e00d89873f774374afb38ad52e586d71,0,4455.18,0,0.0,0,1258,2,1313.18,4,1,WeapMini14_C
52,15,1,16,steam,3,6,1,226.926,byplayer,1,0,12,1,2,242.594,GK888GK,account.e00d89873f774374afb38ad52e586d71,0,6808.12,0,0.0,0,1318,0,1437.5,8,7,WeapMini14_C
29,9,1,16,steam,2,3,2,327.995,alive,1,2,11,1,2,76.2598,3itt,account.713feda39ee34ea3bf28367d0f08d168,0,3888.67,0,0.0,0,631,0,521.137,5,1,WeapHK416_C
26,13,1,19,steam,1,2,7,68.5499,alive,0,10,13,1,1,33.2282,3itt,account.713feda39ee34ea3bf28367d0f08d168,0,4388.3,0,0.0,0,923,0,1275.72,7,1,WeapHK416_C
6,10,1,16,steam,7,3,6,739.284,alive,0,4,3,2,5,57.9878,TAEIL-H-,account.2e3e35371b9c461d93144a1af9e18d0c,2,3415.11,0,0.0,0,1863,1,1993.04,6,1,WeapMk12_C
18,7,1,16,steam,4,5,12,779.303,alive,2,3,1,2,7,118.548,TAEIL-H-,account.2e3e35371b9c461d93144a1af9e18d0c,1,4596.02,0,0.0,0,1686,0,2431.82,10,1,WeapMk12_C
10,3,1,15,steam,5,1,12,1111.73,alive,0,5,1,2,7,203.579,TAEIL-H-,account.2e3e35371b9c461d93144a1af9e18d0c,1,3253.55,0,0.0,0,1716,0,1611.57,8,1,WeapMk12_C
14,8,1,17,steam,3,3,18,939.962,alive,1,9,2,2,5,112.751,TAEIL-H-,account.2e3e35371b9c461d93144a1af9e18d0c,3,2556.0,0,0.0,0,1801,0,2622.64,7,1,WeapMk12_C
15,12,1,17,steam,9,5,15,1154.21,alive,3,3,1,2,10,214.537,TAEIL-H-,account.2e3e35371b9c461d93144a1af9e18d0c,1,7041.27,0,0.0,0,1841,1,1432.29,10,1,WeapMk12_C
50,14,1,16,steam,2,2,14,617.841,alive,1,1,2,1,5,329.693,HUYA-383907BMZ,account.c66b1886b8274a2a9c05936e4a456593,1,1303.23,0,0.0,0,1658,0,1705.42,7,1,WeapMini14_C
47,4,1,16,steam,5,1,12,742.183,alive,2,1,2,2,5,188.527,HUYA-383907BMZ,account.c66b1886b8274a2a9c05936e4a456593,1,3859.02,0,0.0,0,1781,0,2110.68,7,1,WeapMini14_C
43,18,1,19,steam,7,3,12,761.455,alive,1,7,1,1,6,142.095,HUYA-383907BMZ,account.c66b1886b8274a2a9c05936e4a456593,1,6268.08,0,0.0,0,1834,0,1460.7,8,1,WeapKar98k_C
48,3,1,15,steam,5,0,13,667.134,alive,1,0,4,1,4,167.65,HUYA-383907BMZ,account.c66b1886b8274a2a9c05936e4a456593,0,6180.1,0,0.0,1,1837,0,2472.02,5,1,WeapHK416_C
42,6,1,16,steam,4,2,8,700.167,alive,1,4,2,2,6,176.482,HUYA-383907BMZ,account.c66b1886b8274a2a9c05936e4a456593,2,5870.0,0,0.0,0,1819,0,2062.55,5,1,WeapFNFal_C
43,16,1,16,steam,4,3,12,563.911,alive,2,8,4,1,5,235.407,mantoubuxiaole,account.96492773211a4c43adf5dcc93378ec9c,0,2095.69,0,47.419,0,1435,0,2103.41,4,1,WeapMini14_C
40,9,1,17,steam,4,8,9,997.734,alive,2,5,1,2,6,516.318,mantoubuxiaole,account.96492773211a4c43adf5dcc93378ec9c,2,5326.71,0,0.0,0,1670,1,1948.1,5,1,WeapMini14_C
42,3,1,19,steam,4,1,5,426.834,alive,0,1,2,2,5,403.676,Mars_Kzzzzzz,account.ab56e1e1d76241748bb274b883f92f00,0,971.704,0,0.0,0,1568,0,890.826,3,1,WeapKar98k_C
